series_id        	year	period	       value	footnote_codes
JTS00000000QUL   	2016	M05	        3010	
JTS00000000QUL   	2016	M06	        2988	
JTS00000000QUL   	2016	M07	        2976	
JTS00000000QUL   	2016	M08	        3007	
JTS00000000QUL   	2016	M09	        3044	
JTS00000000QUL   	2016	M10	        3078	
JTS00000000QUL   	2016	M11	        3017	
JTS00000000QUL   	2016	M12	        2986	
JTS00000000QUL   	2017	M01	        3176	
JTS00000000QUL   	2017	M02	        3081	
JTS00000000QUL   	2017	M03	        3134	
JTS00000000QUL   	2017	M04	        3034	
JTS00000000QUL   	2017	M05	        3126	
JTS00000000QUL   	2017	M06	        3157	
JTS00000000QUL   	2017	M07	        3118	
JTS00000000QUL   	2017	M08	        3134	
JTS00000000QUL   	2017	M09	        3212	
JTS00000000QUL   	2017	M10	        3193	
JTS00000000QUL   	2017	M11	        3157	
JTS00000000QUL   	2017	M12	        3222	
JTS00000000QUL   	2018	M01	        3034	
JTS00000000QUL   	2018	M02	        3175	
JTS00000000QUL   	2018	M03	        3301	
JTS00000000QUL   	2018	M04	        3373	
JTS00000000QUL   	2018	M05	        3405	
JTS00000000QUL   	2018	M06	        3389	
JTS00000000QUL   	2018	M07	        3443	
JTS00000000QUL   	2018	M08	        3446	
JTS00000000QUL   	2018	M09	        3400	
JTS00000000QUL   	2018	M10	        3485	
JTS00000000QUL   	2018	M11	        3460	
JTS00000000QUL   	2018	M12	        3415	
JTS00000000QUL   	2019	M01	        3530	
JTS00000000QUL   	2019	M02	        3541	
JTS00000000QUL   	2019	M03	        3525	
JTS00000000QUL   	2019	M04	        3492	
JTS00000000QUL   	2019	M05	        3486	
JTS00000000QUL   	2019	M06	        3481	
JTS00000000QUL   	2019	M07	        3612	
JTS00000000QUL   	2019	M08	        3544	
JTS00000000QUL   	2019	M09	        3429	
JTS00000000QUL   	2019	M10	        3442	
JTS00000000QUL   	2019	M11	        3528	
JTS00000000QUL   	2019	M12	        3528	
JTS00000000QUL   	2020	M01	        3575	C
JTS00000000QUL   	2020	M02	        3436	
JTS00000000QUL   	2020	M03	        2789	
JTS00000000QUL   	2020	M04	        1877	
JTS00000000QUL   	2020	M05	        2067	
JTS00000000QUL   	2020	M06	        2598	P
JTS00000000QUR   	2000	M12	         2.2	
JTS00000000QUR   	2001	M01	         2.5	
JTS00000000QUR   	2001	M02	         2.3	
JTS00000000QUR   	2001	M03	         2.3	
JTS00000000QUR   	2001	M04	         2.4	
JTS00000000QUR   	2001	M05	         2.3	
JTS00000000QUR   	2001	M06	         2.2	
JTS00000000QUR   	2001	M07	         2.2	
JTS00000000QUR   	2001	M08	         2.2	
JTS00000000QUR   	2001	M09	         2.1	
JTS00000000QUR   	2001	M10	         2.1	
JTS00000000QUR   	2001	M11	         1.9	
JTS00000000QUR   	2001	M12	         1.9	
JTS00000000QUR   	2002	M01	         2.2	
JTS00000000QUR   	2002	M02	         2.0	
JTS00000000QUR   	2002	M03	         1.9	
JTS00000000QUR   	2002	M04	         2.0	
JTS00000000QUR   	2002	M05	         1.9	
JTS00000000QUR   	2002	M06	         1.9	
JTS00000000QUR   	2002	M07	         2.0	
JTS00000000QUR   	2002	M08	         2.0	
JTS00000000QUR   	2002	M09	         1.9	
JTS00000000QUR   	2002	M10	         1.9	
JTS00000000QUR   	2002	M11	         1.8	
JTS00000000QUR   	2002	M12	         1.9	
JTS00000000QUR   	2003	M01	         1.9	
JTS00000000QUR   	2003	M02	         1.9	
JTS00000000QUR   	2003	M03	         1.8	
JTS00000000QUR   	2003	M04	         1.8	
JTS00000000QUR   	2003	M05	         1.8	
JTS00000000QUR   	2003	M06	         1.8	
JTS00000000QUR   	2003	M07	         1.8	
JTS00000000QUR   	2003	M08	         1.7	
JTS00000000QUR   	2003	M09	         1.8	
JTS00000000QUR   	2003	M10	         1.9	
JTS00000000QUR   	2003	M11	         1.8	
JTS00000000QUR   	2003	M12	         1.9	
JTS00000000QUR   	2004	M01	         1.8	
JTS00000000QUR   	2004	M02	         1.9	
JTS00000000QUR   	2004	M03	         2.0	
JTS00000000QUR   	2004	M04	         1.9	
JTS00000000QUR   	2004	M05	         1.8	
JTS00000000QUR   	2004	M06	         2.0	
JTS00000000QUR   	2004	M07	         2.0	
JTS00000000QUR   	2004	M08	         2.0	
JTS00000000QUR   	2004	M09	         1.9	
JTS00000000QUR   	2004	M10	         1.9	
JTS00000000QUR   	2004	M11	         2.1	
JTS00000000QUR   	2004	M12	         2.0	
JTS00000000QUR   	2005	M01	         2.1	
JTS00000000QUR   	2005	M02	         2.0	
JTS00000000QUR   	2005	M03	         2.1	
JTS00000000QUR   	2005	M04	         2.1	
JTS00000000QUR   	2005	M05	         2.1	
JTS00000000QUR   	2005	M06	         2.1	
JTS00000000QUR   	2005	M07	         2.0	
JTS00000000QUR   	2005	M08	         2.2	
JTS00000000QUR   	2005	M09	         2.3	
JTS00000000QUR   	2005	M10	         2.1	
JTS00000000QUR   	2005	M11	         2.1	
JTS00000000QUR   	2005	M12	         2.1	
JTS00000000QUR   	2006	M01	         2.2	
JTS00000000QUR   	2006	M02	         2.2	
JTS00000000QUR   	2006	M03	         2.2	
JTS00000000QUR   	2006	M04	         2.0	
JTS00000000QUR   	2006	M05	         2.2	
JTS00000000QUR   	2006	M06	         2.2	
JTS00000000QUR   	2006	M07	         2.2	
JTS00000000QUR   	2006	M08	         2.2	
JTS00000000QUR   	2006	M09	         2.1	
JTS00000000QUR   	2006	M10	         2.2	
JTS00000000QUR   	2006	M11	         2.2	
JTS00000000QUR   	2006	M12	         2.2	
JTS00000000QUR   	2007	M01	         2.2	
JTS00000000QUR   	2007	M02	         2.1	
JTS00000000QUR   	2007	M03	         2.2	
JTS00000000QUR   	2007	M04	         2.1	
JTS00000000QUR   	2007	M05	         2.2	
JTS00000000QUR   	2007	M06	         2.1	
JTS00000000QUR   	2007	M07	         2.1	
JTS00000000QUR   	2007	M08	         2.2	
JTS00000000QUR   	2007	M09	         2.0	
JTS00000000QUR   	2007	M10	         2.1	
JTS00000000QUR   	2007	M11	         2.0	
JTS00000000QUR   	2007	M12	         2.0	
JTS00000000QUR   	2008	M01	         2.1	
JTS00000000QUR   	2008	M02	         2.1	
JTS00000000QUR   	2008	M03	         1.9	
JTS00000000QUR   	2008	M04	         2.1	
JTS00000000QUR   	2008	M05	         1.9	
JTS00000000QUR   	2008	M06	         1.9	
JTS00000000QUR   	2008	M07	         1.8	
JTS00000000QUR   	2008	M08	         1.8	
JTS00000000QUR   	2008	M09	         1.8	
JTS00000000QUR   	2008	M10	         1.7	
JTS00000000QUR   	2008	M11	         1.6	
JTS00000000QUR   	2008	M12	         1.5	
JTS00000000QUR   	2009	M01	         1.5	
JTS00000000QUR   	2009	M02	         1.5	
JTS00000000QUR   	2009	M03	         1.4	
JTS00000000QUR   	2009	M04	         1.3	
JTS00000000QUR   	2009	M05	         1.3	
JTS00000000QUR   	2009	M06	         1.3	
JTS00000000QUR   	2009	M07	         1.3	
JTS00000000QUR   	2009	M08	         1.2	
JTS00000000QUR   	2009	M09	         1.3	
JTS00000000QUR   	2009	M10	         1.3	
JTS00000000QUR   	2009	M11	         1.4	
JTS00000000QUR   	2009	M12	         1.4	
JTS00000000QUR   	2010	M01	         1.3	
JTS00000000QUR   	2010	M02	         1.4	
JTS00000000QUR   	2010	M03	         1.4	
JTS00000000QUR   	2010	M04	         1.5	
JTS00000000QUR   	2010	M05	         1.4	
JTS00000000QUR   	2010	M06	         1.5	
JTS00000000QUR   	2010	M07	         1.4	
JTS00000000QUR   	2010	M08	         1.4	
JTS00000000QUR   	2010	M09	         1.5	
JTS00000000QUR   	2010	M10	         1.4	
JTS00000000QUR   	2010	M11	         1.4	
JTS00000000QUR   	2010	M12	         1.5	
JTS00000000QUR   	2011	M01	         1.4	
JTS00000000QUR   	2011	M02	         1.5	
JTS00000000QUR   	2011	M03	         1.5	
JTS00000000QUR   	2011	M04	         1.4	
JTS00000000QUR   	2011	M05	         1.5	
JTS00000000QUR   	2011	M06	         1.5	
JTS00000000QUR   	2011	M07	         1.5	
JTS00000000QUR   	2011	M08	         1.5	
JTS00000000QUR   	2011	M09	         1.5	
JTS00000000QUR   	2011	M10	         1.5	
JTS00000000QUR   	2011	M11	         1.5	
JTS00000000QUR   	2011	M12	         1.5	
JTS00000000QUR   	2012	M01	         1.5	
JTS00000000QUR   	2012	M02	         1.6	
JTS00000000QUR   	2012	M03	         1.6	
JTS00000000QUR   	2012	M04	         1.6	
JTS00000000QUR   	2012	M05	         1.6	
JTS00000000QUR   	2012	M06	         1.6	
JTS00000000QUR   	2012	M07	         1.5	
JTS00000000QUR   	2012	M08	         1.5	
JTS00000000QUR   	2012	M09	         1.5	
JTS00000000QUR   	2012	M10	         1.5	
JTS00000000QUR   	2012	M11	         1.5	
JTS00000000QUR   	2012	M12	         1.5	
JTS00000000QUR   	2013	M01	         1.7	
JTS00000000QUR   	2013	M02	         1.7	
JTS00000000QUR   	2013	M03	         1.6	
JTS00000000QUR   	2013	M04	         1.7	
JTS00000000QUR   	2013	M05	         1.6	
JTS00000000QUR   	2013	M06	         1.6	
JTS00000000QUR   	2013	M07	         1.7	
JTS00000000QUR   	2013	M08	         1.7	
JTS00000000QUR   	2013	M09	         1.7	
JTS00000000QUR   	2013	M10	         1.7	
JTS00000000QUR   	2013	M11	         1.7	
JTS00000000QUR   	2013	M12	         1.7	
JTS00000000QUR   	2014	M01	         1.7	
JTS00000000QUR   	2014	M02	         1.7	
JTS00000000QUR   	2014	M03	         1.8	
JTS00000000QUR   	2014	M04	         1.8	
JTS00000000QUR   	2014	M05	         1.8	
JTS00000000QUR   	2014	M06	         1.8	
JTS00000000QUR   	2014	M07	         1.9	
JTS00000000QUR   	2014	M08	         1.8	
JTS00000000QUR   	2014	M09	         2.0	
JTS00000000QUR   	2014	M10	         1.9	
JTS00000000QUR   	2014	M11	         1.8	
JTS00000000QUR   	2014	M12	         1.8	
JTS00000000QUR   	2015	M01	         2.0	
JTS00000000QUR   	2015	M02	         1.9	
JTS00000000QUR   	2015	M03	         2.0	
JTS00000000QUR   	2015	M04	         1.9	
JTS00000000QUR   	2015	M05	         1.9	
JTS00000000QUR   	2015	M06	         1.9	
JTS00000000QUR   	2015	M07	         1.9	
JTS00000000QUR   	2015	M08	         2.0	
JTS00000000QUR   	2015	M09	         2.0	
JTS00000000QUR   	2015	M10	         2.0	
JTS00000000QUR   	2015	M11	         2.0	
JTS00000000QUR   	2015	M12	         2.1	
JTS00000000QUR   	2016	M01	         2.0	
JTS00000000QUR   	2016	M02	         2.1	
JTS00000000QUR   	2016	M03	         2.0	
JTS00000000QUR   	2016	M04	         2.1	
JTS00000000QUR   	2016	M05	         2.1	
JTS00000000QUR   	2016	M06	         2.1	
JTS00000000QUR   	2016	M07	         2.1	
JTS00000000QUR   	2016	M08	         2.1	
JTS00000000QUR   	2016	M09	         2.1	
JTS00000000QUR   	2016	M10	         2.1	
JTS00000000QUR   	2016	M11	         2.1	
JTS00000000QUR   	2016	M12	         2.1	
JTS00000000QUR   	2017	M01	         2.2	
JTS00000000QUR   	2017	M02	         2.1	
JTS00000000QUR   	2017	M03	         2.1	
JTS00000000QUR   	2017	M04	         2.1	
